ID Pedido;Data Pedido;Data Envio;Modo Envio;Prioridade Pedido
MX-2013-130204;24-06-2013;29-06-2013;Classe Padrao;Medio
IR-2013-7680;27-11-2013;02-12-2013;Classe Padrao;Alto
ES-2013-2926991;14-06-2013;21-06-2013;Classe Padrao;Medio
IT-2012-1478733;13-07-2012;17-07-2012;Classe Padrao;Alto
MX-2013-141768;05-04-2013;08-04-2013;Primeira Classe;Critico
IN-2014-33869;04-09-2014;08-09-2014;Classe Padrao;Alto
MX-2013-159583;02-01-2013;06-01-2013;Classe Padrao;Medio
ES-2014-3705262;18-08-2014;21-08-2014;Segunda Classe;Critico
ID-2014-26869;23-05-2014;25-05-2014;Segunda Classe;Medio
EZ-2011-7050;04-10-2011;08-10-2011;Classe Padrao;Alto
CA-2014-113558;22-10-2014;27-10-2014;Classe Padrao;Alto
CA-2012-111948;11-11-2012;11-11-2012;Mesmo Dia;Critico
CA-2013-163804;03-12-2013;09-12-2013;Classe Padrao;Medio
US-2011-148838;17-03-2011;21-03-2011;Classe Padrao;Medio
ML-2012-5100;18-09-2012;25-09-2012;Classe Padrao;Medio
CA-2012-118423;24-03-2012;27-03-2012;Primeira Classe;Alto
ES-2013-3159008;16-09-2013;21-09-2013;Classe Padrao;Alto
MX-2012-158988;06-10-2012;07-10-2012;Mesmo Dia;Alto
IN-2012-73006;05-10-2012;07-10-2012;Segunda Classe;Alto
MX-2012-150301;14-08-2012;16-08-2012;Segunda Classe;Medio
IN-2014-12911;24-09-2014;28-09-2014;Classe Padrao;Alto
IN-2011-40141;22-06-2011;26-06-2011;Classe Padrao;Alto
US-2014-117534;26-03-2014;27-03-2014;Primeira Classe;Critico
IN-2014-31671;28-08-2014;01-09-2014;Classe Padrao;Alto
IN-2013-11679;02-11-2013;08-11-2013;Classe Padrao;Baixo
US-2014-146367;10-12-2014;12-12-2014;Primeira Classe;Medio
IN-2011-52853;03-03-2011;08-03-2011;Segunda Classe;Alto
ES-2013-2963054;03-12-2013;07-12-2013;Classe Padrao;Medio
AO-2013-1640;25-10-2013;29-10-2013;Segunda Classe;Alto
IN-2012-24027;08-08-2012;14-08-2012;Classe Padrao;Medio
ES-2014-2683001;23-09-2014;25-09-2014;Primeira Classe;Medio
CA-2013-105081;26-12-2013;31-12-2013;Classe Padrao;Medio
RS-2013-1800;14-03-2013;20-03-2013;Classe Padrao;Medio
ES-2011-4314290;18-07-2011;23-07-2011;Classe Padrao;Medio
ID-2012-46210;31-08-2012;04-09-2012;Classe Padrao;Alto
IT-2011-2185983;26-04-2011;27-04-2011;Mesmo Dia;Critico
IN-2014-20772;23-09-2014;25-09-2014;Segunda Classe;Medio
IT-2014-1966077;07-08-2014;11-08-2014;Classe Padrao;Medio
IN-2014-15333;15-12-2014;20-12-2014;Classe Padrao;Alto
US-2011-102715;11-04-2011;13-04-2011;Segunda Classe;Critico
IN-2013-64851;10-05-2013;16-05-2013;Classe Padrao;Baixo
ES-2013-2993189;18-06-2013;23-06-2013;Classe Padrao;Medio
ES-2014-1987504;02-08-2014;04-08-2014;Segunda Classe;Critico
MX-2014-113586;18-11-2014;18-11-2014;Mesmo Dia;Alto
ZA-2013-9740;13-09-2013;15-09-2013;Segunda Classe;Critico
IZ-2014-6980;14-11-2014;18-11-2014;Segunda Classe;Medio
IN-2012-66790;27-08-2012;31-08-2012;Segunda Classe;Alto
UP-2014-100;26-08-2014;28-08-2014;Primeira Classe;Critico
ID-2012-77801;23-11-2012;29-11-2012;Classe Padrao;Baixo
IN-2014-78438;25-08-2014;25-08-2014;Mesmo Dia;Medio
ES-2012-4047647;08-08-2012;10-08-2012;Segunda Classe;Alto
CA-2012-160171;19-10-2012;24-10-2012;Classe Padrao;Medio
CA-2011-126403;09-09-2011;12-09-2011;Segunda Classe;Alto
MX-2013-128986;08-05-2013;10-05-2013;Primeira Classe;Alto
ID-2012-28682;12-05-2012;14-05-2012;Primeira Classe;Critico
ID-2012-70857;12-12-2012;13-12-2012;Primeira Classe;Critico
CA-2013-140382;24-06-2013;26-06-2013;Segunda Classe;Alto
IN-2013-36193;15-10-2013;20-10-2013;Segunda Classe;Alto
SA-2014-9070;17-03-2014;22-03-2014;Classe Padrao;Alto
SG-2011-6280;22-04-2011;23-04-2011;Primeira Classe;Critico
ES-2012-5581627;17-12-2012;21-12-2012;Segunda Classe;Medio
MX-2013-106670;08-11-2013;13-11-2013;Classe Padrao;Alto
MX-2012-140767;18-02-2012;22-02-2012;Classe Padrao;Medio
MO-2012-5940;14-09-2012;19-09-2012;Segunda Classe;Medio
IN-2013-71116;26-08-2013;01-09-2013;Classe Padrao;Baixo
MX-2014-104486;08-08-2014;12-08-2014;Classe Padrao;Medio
CA-2013-104157;26-07-2013;30-07-2013;Classe Padrao;Medio
MA-2014-9930;31-03-2014;04-04-2014;Classe Padrao;Alto
ES-2013-5251413;25-11-2013;27-11-2013;Segunda Classe;Alto
IN-2014-44397;12-06-2014;19-06-2014;Classe Padrao;Medio
IN-2014-62709;18-12-2014;20-12-2014;Segunda Classe;Alto
ES-2011-3136087;15-12-2011;20-12-2011;Classe Padrao;Medio
IT-2014-5592351;28-08-2014;02-09-2014;Segunda Classe;Alto
ES-2011-3248922;08-09-2011;11-09-2011;Segunda Classe;Critico
CA-2011-119144;16-11-2011;18-11-2011;Primeira Classe;Critico
MX-2014-167829;17-10-2014;24-10-2014;Classe Padrao;Medio
MX-2013-114258;11-06-2013;13-06-2013;Primeira Classe;Medio
CA-2013-142545;29-10-2013;04-11-2013;Classe Padrao;Medio
CA-2011-163034;24-11-2011;28-11-2011;Classe Padrao;Alto
CA-2011-154893;21-12-2011;27-12-2011;Classe Padrao;Medio
IV-2011-6850;31-10-2011;04-11-2011;Classe Padrao;Alto
ES-2013-2313397;12-10-2013;13-10-2013;Primeira Classe;Critico
MX-2013-145898;06-08-2013;08-08-2013;Segunda Classe;Alto
CA-2014-151981;07-08-2014;13-08-2014;Classe Padrao;Medio
SY-2014-8240;02-06-2014;03-06-2014;Primeira Classe;Alto
RS-2013-3300;08-11-2013;15-11-2013;Classe Padrao;Medio
US-2013-138758;23-03-2013;25-03-2013;Primeira Classe;Alto
MX-2013-143686;25-06-2013;29-06-2013;Classe Padrao;Alto
ES-2012-4072999;19-03-2012;21-03-2012;Primeira Classe;Medio
MX-2014-110338;29-10-2014;01-11-2014;Primeira Classe;Alto
IN-2012-29354;15-11-2012;17-11-2012;Segunda Classe;Alto
IN-2013-45692;17-06-2013;20-06-2013;Segunda Classe;Alto
SF-2013-3300;12-07-2013;17-07-2013;Classe Padrao;Medio
IT-2012-1519794;11-01-2012;15-01-2012;Classe Padrao;Medio
IN-2012-66419;31-08-2012;06-09-2012;Classe Padrao;Medio
ES-2013-4986805;23-11-2013;27-11-2013;Classe Padrao;Medio
ES-2011-5605335;16-07-2011;19-07-2011;Segunda Classe;Alto
IT-2012-1609351;17-09-2012;17-09-2012;Mesmo Dia;Medio
IN-2014-70724;05-06-2014;07-06-2014;Segunda Classe;Medio
MR-2014-6950;01-08-2014;06-08-2014;Segunda Classe;Medio
CA-2013-9860;28-06-2013;30-06-2013;Primeira Classe;Critico
CA-2012-137064;06-02-2012;13-02-2012;Classe Padrao;Baixo
IN-2012-50949;03-12-2012;05-12-2012;Primeira Classe;Alto
MX-2014-117233;30-06-2014;01-07-2014;Primeira Classe;Critico
IN-2013-40477;03-06-2013;07-06-2013;Classe Padrao;Medio
SO-2014-8170;09-12-2014;14-12-2014;Segunda Classe;Alto
IR-2014-6850;01-08-2014;03-08-2014;Segunda Classe;Critico
CA-2013-128223;15-06-2013;15-06-2013;Mesmo Dia;Alto
RS-2013-2700;01-10-2013;06-10-2013;Classe Padrao;Medio
CA-2014-128853;22-04-2014;24-04-2014;Primeira Classe;Medio
MX-2011-109869;25-03-2011;31-03-2011;Classe Padrao;Medio
RS-2013-3450;14-06-2013;14-06-2013;Mesmo Dia;Alto
CA-2014-126067;29-08-2014;04-09-2014;Classe Padrao;Medio
IN-2011-49689;18-08-2011;22-08-2011;Classe Padrao;Alto
IN-2014-46917;22-04-2014;23-04-2014;Primeira Classe;Alto
CA-2014-112529;20-11-2014;22-11-2014;Primeira Classe;Medio
MX-2013-168228;07-05-2013;14-05-2013;Classe Padrao;Baixo
ES-2011-4688304;20-12-2011;24-12-2011;Segunda Classe;Alto
ID-2013-34695;12-04-2013;13-04-2013;Primeira Classe;Alto
SF-2011-320;17-11-2011;20-11-2011;Primeira Classe;Alto
CA-2014-150420;04-06-2014;09-06-2014;Classe Padrao;Medio
AG-2014-4280;04-12-2014;10-12-2014;Classe Padrao;Medio
ID-2014-54589;19-10-2014;26-10-2014;Classe Padrao;Baixo
IN-2012-40638;19-10-2012;21-10-2012;Segunda Classe;Medio
NI-2013-4780;03-07-2013;06-07-2013;Segunda Classe;Critico
MX-2011-161494;03-11-2011;06-11-2011;Segunda Classe;Critico
IN-2012-49983;17-10-2012;23-10-2012;Classe Padrao;Medio
IR-2014-4320;19-02-2014;25-02-2014;Classe Padrao;Medio
MX-2013-137183;24-07-2013;25-07-2013;Primeira Classe;Critico
ES-2012-5985650;03-08-2012;07-08-2012;Segunda Classe;Alto
IN-2014-85018;02-08-2014;04-08-2014;Primeira Classe;Critico
IT-2011-1521406;21-05-2011;25-05-2011;Segunda Classe;Alto
US-2013-109344;11-03-2013;14-03-2013;Primeira Classe;Alto
ID-2012-66881;09-03-2012;11-03-2012;Segunda Classe;Medio
ID-2011-37621;30-06-2011;02-07-2011;Primeira Classe;Critico
ES-2012-1606540;09-02-2012;13-02-2012;Classe Padrao;Alto
CA-2012-149650;24-10-2012;27-10-2012;Primeira Classe;Medio
IN-2013-57641;25-09-2013;29-09-2013;Segunda Classe;Alto
MX-2014-157637;09-09-2014;12-09-2014;Primeira Classe;Medio
MX-2014-111234;28-10-2014;28-10-2014;Mesmo Dia;Critico
IN-2012-18546;08-11-2012;13-11-2012;Classe Padrao;Medio
ES-2012-2080192;11-04-2012;15-04-2012;Classe Padrao;Medio
MX-2014-103660;12-11-2014;12-11-2014;Mesmo Dia;Critico
MX-2014-113495;20-05-2014;23-05-2014;Segunda Classe;Alto
ES-2011-4154402;22-06-2011;26-06-2011;Classe Padrao;Alto
MX-2012-105648;15-02-2012;17-02-2012;Primeira Classe;Critico
MX-2014-167724;22-09-2014;24-09-2014;Primeira Classe;Alto
CA-2013-102092;10-12-2013;12-12-2013;Primeira Classe;Medio
KE-2014-3820;28-06-2014;30-06-2014;Segunda Classe;Critico
IN-2014-29270;29-11-2014;05-12-2014;Classe Padrao;Medio
TU-2013-9520;10-12-2013;14-12-2013;Classe Padrao;Alto
IN-2012-64872;03-09-2012;03-09-2012;Mesmo Dia;Medio
MX-2014-117604;16-01-2014;19-01-2014;Primeira Classe;Medio
SL-2012-7850;09-12-2012;10-12-2012;Primeira Classe;Alto
IN-2013-53140;05-04-2013;09-04-2013;Classe Padrao;Medio
IN-2012-31867;01-08-2012;06-08-2012;Classe Padrao;Medio
MX-2011-155999;28-05-2011;02-06-2011;Classe Padrao;Alto
ES-2011-1589842;13-05-2011;15-05-2011;Segunda Classe;Alto
US-2013-165505;23-01-2013;27-01-2013;Classe Padrao;Medio
ID-2014-72110;07-01-2014;11-01-2014;Classe Padrao;Medio
IT-2011-1877466;02-02-2011;06-02-2011;Classe Padrao;Alto
ES-2013-5239444;28-11-2013;01-12-2013;Segunda Classe;Alto
IN-2013-42311;27-02-2013;28-02-2013;Primeira Classe;Alto
IR-2013-4110;25-09-2013;25-09-2013;Mesmo Dia;Alto
CA-2013-142594;02-12-2013;07-12-2013;Segunda Classe;Medio
ES-2012-4558645;16-11-2012;22-11-2012;Classe Padrao;Medio
CA-2013-143609;12-12-2013;14-12-2013;Primeira Classe;Critico
IN-2012-40848;07-01-2012;11-01-2012;Classe Padrao;Medio
ES-2014-4108009;20-10-2014;24-10-2014;Segunda Classe;Alto
RO-2011-1590;14-05-2011;14-05-2011;Mesmo Dia;Alto
ID-2011-42493;03-06-2011;08-06-2011;Classe Padrao;Medio
GH-2011-210;16-11-2011;18-11-2011;Segunda Classe;Critico
RO-2014-7360;09-04-2014;11-04-2014;Primeira Classe;Critico
IN-2013-25539;13-12-2013;17-12-2013;Classe Padrao;Alto
US-2011-155894;13-10-2011;19-10-2011;Classe Padrao;Baixo
ES-2014-5855273;13-01-2014;17-01-2014;Classe Padrao;Medio
ES-2011-5497239;22-01-2011;26-01-2011;Classe Padrao;Alto
ES-2014-3088059;06-01-2014;09-01-2014;Segunda Classe;Medio
MX-2014-117177;08-04-2014;10-04-2014;Segunda Classe;Alto
ES-2012-1929989;20-12-2012;27-12-2012;Classe Padrao;Baixo
ID-2013-20471;09-01-2013;12-01-2013;Primeira Classe;Medio
US-2013-166660;30-01-2013;01-02-2013;Segunda Classe;Critico
ES-2014-2178876;09-06-2014;15-06-2014;Classe Padrao;Baixo
MX-2013-101805;09-10-2013;14-10-2013;Classe Padrao;Alto
ES-2011-1458159;12-09-2011;16-09-2011;Classe Padrao;Alto
ES-2012-3231769;26-03-2012;26-03-2012;Mesmo Dia;Alto
ES-2012-5954014;07-02-2012;11-02-2012;Classe Padrao;Alto
IN-2013-15529;25-09-2013;29-09-2013;Classe Padrao;Alto
TU-2014-6410;07-05-2014;12-05-2014;Classe Padrao;Alto
MX-2012-119487;13-11-2012;15-11-2012;Primeira Classe;Alto
ES-2011-5861038;30-03-2011;03-04-2011;Classe Padrao;Alto
MX-2014-152968;01-12-2014;03-12-2014;Primeira Classe;Critico
MX-2012-144561;28-09-2012;01-10-2012;Primeira Classe;Alto
GV-2011-9440;08-04-2011;11-04-2011;Primeira Classe;Critico
MX-2011-105893;16-11-2011;19-11-2011;Primeira Classe;Medio
ES-2014-3412389;08-12-2014;15-12-2014;Classe Padrao;Baixo
ES-2011-5504927;24-03-2011;27-03-2011;Primeira Classe;Critico
AO-2014-2270;28-05-2014;04-06-2014;Classe Padrao;Baixo
ES-2011-2469850;04-08-2011;06-08-2011;Segunda Classe;Critico
EG-2012-7790;10-08-2012;14-08-2012;Classe Padrao;Alto
MX-2013-128027;04-10-2013;09-10-2013;Classe Padrao;Alto
IN-2013-63717;17-04-2013;24-04-2013;Classe Padrao;Baixo
ID-2014-35892;16-11-2014;22-11-2014;Classe Padrao;Medio
CA-2012-166583;26-06-2012;30-06-2012;Classe Padrao;Medio
MX-2012-131121;09-07-2012;14-07-2012;Classe Padrao;Medio
SA-2011-8320;23-06-2011;29-06-2011;Classe Padrao;Baixo
IN-2013-63829;01-08-2013;05-08-2013;Classe Padrao;Medio
US-2011-158001;31-08-2011;05-09-2011;Classe Padrao;Alto
IN-2014-70059;25-01-2014;01-02-2014;Classe Padrao;Baixo
UP-2013-9700;25-12-2013;30-12-2013;Classe Padrao;Medio
CA-2014-6280;20-10-2014;22-10-2014;Primeira Classe;Critico
ES-2012-1881846;25-12-2012;29-12-2012;Classe Padrao;Medio
ID-2012-37838;14-11-2012;16-11-2012;Segunda Classe;Alto
UP-2014-2040;23-07-2014;24-07-2014;Primeira Classe;Critico
CA-2011-110786;29-12-2011;02-01-2012;Classe Padrao;Alto
US-2011-138247;24-12-2011;29-12-2011;Classe Padrao;Medio
IN-2014-75288;08-05-2014;11-05-2014;Primeira Classe;Alto
CA-2014-161067;04-09-2014;07-09-2014;Segunda Classe;Alto
ID-2013-83758;11-07-2013;15-07-2013;Classe Padrao;Alto
CA-2014-155376;23-12-2014;28-12-2014;Classe Padrao;Medio
ID-2013-30866;17-07-2013;21-07-2013;Classe Padrao;Medio
MX-2012-101231;04-06-2012;11-06-2012;Classe Padrao;Medio
CA-2014-166436;25-11-2014;29-11-2014;Classe Padrao;Medio
CA-2014-103877;08-09-2014;15-09-2014;Classe Padrao;Medio
BN-2011-6760;21-09-2011;22-09-2011;Primeira Classe;Alto
MX-2012-141341;20-04-2012;25-04-2012;Classe Padrao;Medio
IN-2013-53819;25-11-2013;29-11-2013;Segunda Classe;Alto
CA-2011-114790;11-03-2011;13-03-2011;Segunda Classe;Alto
ES-2014-5359952;13-10-2014;19-10-2014;Classe Padrao;Medio
ID-2013-37572;04-10-2013;07-10-2013;Segunda Classe;Alto
IN-2013-61841;26-04-2013;28-04-2013;Segunda Classe;Alto
IN-2013-60588;20-11-2013;20-11-2013;Mesmo Dia;Critico
ES-2013-1185240;13-08-2013;17-08-2013;Classe Padrao;Medio
ES-2012-4647281;09-08-2012;09-08-2012;Mesmo Dia;Alto
IN-2014-15809;13-11-2014;15-11-2014;Segunda Classe;Alto
IN-2014-24909;12-12-2014;17-12-2014;Classe Padrao;Medio
IN-2012-54729;20-12-2012;23-12-2012;Primeira Classe;Alto
CA-2014-139717;25-08-2014;27-08-2014;Segunda Classe;Alto
CA-2011-162089;30-03-2011;01-04-2011;Primeira Classe;Critico
ID-2013-53833;01-11-2013;05-11-2013;Classe Padrao;Medio
US-2013-131611;06-11-2013;10-11-2013;Classe Padrao;Medio
IV-2013-9990;27-12-2013;01-01-2014;Classe Padrao;Alto
MX-2014-160738;10-12-2014;15-12-2014;Classe Padrao;Medio
ES-2013-5958799;16-04-2013;18-04-2013;Segunda Classe;Alto
MX-2014-131072;14-01-2014;19-01-2014;Segunda Classe;Alto
CA-2011-157784;05-07-2011;08-07-2011;Primeira Classe;Alto
RS-2014-7520;08-04-2014;12-04-2014;Segunda Classe;Alto
US-2013-128013;09-11-2013;10-11-2013;Primeira Classe;Alto
CA-2013-131093;18-09-2013;21-09-2013;Segunda Classe;Critico
ES-2013-4511365;29-10-2013;02-11-2013;Segunda Classe;Medio
EG-2013-2940;28-01-2013;31-01-2013;Primeira Classe;Critico
CA-2011-117464;22-07-2011;24-07-2011;Segunda Classe;Alto
CA-2011-109897;12-08-2011;16-08-2011;Classe Padrao;Alto
MX-2014-154739;04-07-2014;07-07-2014;Segunda Classe;Alto
ES-2013-3446925;17-08-2013;21-08-2013;Classe Padrao;Alto
IN-2013-46812;29-08-2013;30-08-2013;Primeira Classe;Critico
IT-2014-5825471;26-04-2014;02-05-2014;Classe Padrao;Baixo
TU-2012-3470;05-11-2012;05-11-2012;Mesmo Dia;Alto
CA-2013-129280;04-05-2013;06-05-2013;Primeira Classe;Alto
MX-2011-148033;24-05-2011;28-05-2011;Classe Padrao;Medio
IN-2012-86327;23-10-2012;23-10-2012;Mesmo Dia;Alto
IN-2013-74350;16-08-2013;18-08-2013;Segunda Classe;Critico
IT-2014-5878187;08-09-2014;13-09-2014;Classe Padrao;Medio
US-2013-160528;24-08-2013;31-08-2013;Classe Padrao;Baixo
US-2012-139801;11-11-2012;14-11-2012;Primeira Classe;Medio
IN-2013-53987;05-01-2013;11-01-2013;Classe Padrao;Medio
RS-2013-2360;09-11-2013;13-11-2013;Classe Padrao;Alto
US-2011-131275;18-03-2011;24-03-2011;Classe Padrao;Medio
ID-2013-59062;17-10-2013;23-10-2013;Classe Padrao;Medio
IN-2014-32651;26-08-2014;28-08-2014;Segunda Classe;Alto
AG-2013-6810;10-07-2013;12-07-2013;Segunda Classe;Alto
MX-2014-157518;31-05-2014;02-06-2014;Primeira Classe;Medio
ES-2014-1256106;26-09-2014;01-10-2014;Classe Padrao;Medio
ID-2013-18952;11-10-2013;11-10-2013;Mesmo Dia;Medio
MX-2014-125878;26-02-2014;05-03-2014;Classe Padrao;Medio
MX-2013-148005;06-05-2013;11-05-2013;Classe Padrao;Medio
IN-2014-32049;03-09-2014;07-09-2014;Classe Padrao;Medio
US-2012-163118;25-12-2012;01-01-2013;Classe Padrao;Baixo
IT-2012-5509380;02-11-2012;08-11-2012;Classe Padrao;Medio
ES-2014-1406762;15-12-2014;19-12-2014;Classe Padrao;Alto
ES-2013-2754415;05-09-2013;07-09-2013;Primeira Classe;Alto
GH-2012-3030;15-10-2012;19-10-2012;Classe Padrao;Medio
TU-2013-2760;23-07-2013;28-07-2013;Classe Padrao;Medio
IN-2014-80153;26-08-2014;31-08-2014;Segunda Classe;Alto
ES-2014-2866560;17-01-2014;19-01-2014;Segunda Classe;Critico
CA-2011-101931;28-10-2011;31-10-2011;Primeira Classe;Alto
ES-2014-3758334;14-04-2014;16-04-2014;Segunda Classe;Alto
US-2014-141985;22-08-2014;24-08-2014;Segunda Classe;Critico
ES-2013-4009230;21-10-2013;24-10-2013;Primeira Classe;Alto
MX-2011-115826;22-08-2011;26-08-2011;Classe Padrao;Medio
IN-2014-41709;25-10-2014;29-10-2014;Classe Padrao;Medio
MX-2013-102470;20-11-2013;23-11-2013;Primeira Classe;Alto
MX-2012-158526;19-04-2012;26-04-2012;Classe Padrao;Baixo
IN-2012-67805;05-06-2012;07-06-2012;Primeira Classe;Critico
IT-2013-4891100;01-05-2013;03-05-2013;Segunda Classe;Alto
ES-2014-4689230;25-12-2014;29-12-2014;Classe Padrao;Medio
CA-2011-160773;01-07-2011;05-07-2011;Classe Padrao;Alto
CA-2014-5120;18-02-2014;23-02-2014;Segunda Classe;Medio
MR-2013-8020;17-10-2013;22-10-2013;Classe Padrao;Medio
KE-2011-6940;01-10-2011;05-10-2011;Classe Padrao;Alto
MX-2013-167913;27-08-2013;28-08-2013;Primeira Classe;Alto
ES-2012-3438393;18-02-2012;22-02-2012;Classe Padrao;Alto
EG-2011-1800;14-04-2011;19-04-2011;Classe Padrao;Alto
ES-2012-5840484;06-07-2012;09-07-2012;Segunda Classe;Alto
GV-2012-1920;03-07-2012;07-07-2012;Classe Padrao;Medio
IN-2012-30572;01-11-2012;05-11-2012;Classe Padrao;Medio
ID-2012-37887;26-01-2012;29-01-2012;Primeira Classe;Alto
IN-2014-31223;05-08-2014;06-08-2014;Primeira Classe;Medio
ES-2014-2518452;19-09-2014;22-09-2014;Segunda Classe;Alto
ES-2012-3241112;28-06-2012;03-07-2012;Classe Padrao;Medio
ID-2011-36011;26-01-2011;27-01-2011;Primeira Classe;Alto
MO-2014-780;04-08-2014;09-08-2014;Segunda Classe;Medio
CA-2011-9430;09-11-2011;11-11-2011;Segunda Classe;Alto
ES-2014-4859001;17-06-2014;22-06-2014;Classe Padrao;Medio
ES-2013-2341157;08-10-2013;12-10-2013;Classe Padrao;Medio
IN-2014-45986;08-10-2014;13-10-2014;Classe Padrao;Medio
ID-2014-65250;01-07-2014;05-07-2014;Classe Padrao;Alto
IN-2013-35822;24-09-2013;28-09-2013;Classe Padrao;Medio
MX-2013-137631;29-05-2013;04-06-2013;Classe Padrao;Medio
IN-2012-68911;23-08-2012;25-08-2012;Primeira Classe;Alto
ES-2012-3876991;26-04-2012;28-04-2012;Primeira Classe;Critico
ES-2013-2387221;04-09-2013;08-09-2013;Classe Padrao;Alto
CA-2012-169796;09-11-2012;14-11-2012;Classe Padrao;Alto
MX-2013-159366;13-10-2013;19-10-2013;Classe Padrao;Baixo
MX-2011-133844;03-10-2011;06-10-2011;Primeira Classe;Critico
IN-2011-85991;16-12-2011;22-12-2011;Classe Padrao;Medio
MX-2014-112039;09-12-2014;09-12-2014;Mesmo Dia;Alto
ES-2011-3661686;15-01-2011;20-01-2011;Segunda Classe;Medio
CA-2011-124429;27-05-2011;27-05-2011;Mesmo Dia;Alto
ES-2014-1538808;30-06-2014;04-07-2014;Classe Padrao;Medio
IT-2013-3843253;20-09-2013;23-09-2013;Primeira Classe;Medio
IT-2014-2655984;05-12-2014;12-12-2014;Classe Padrao;Medio
IN-2013-54162;25-12-2013;01-01-2014;Classe Padrao;Medio
ES-2013-3878132;10-06-2013;14-06-2013;Classe Padrao;Medio
IR-2011-6550;04-08-2011;06-08-2011;Segunda Classe;Alto
IT-2014-1612191;14-08-2014;18-08-2014;Classe Padrao;Medio
CA-2012-134719;10-10-2012;15-10-2012;Classe Padrao;Alto
IN-2013-51334;04-06-2013;09-06-2013;Classe Padrao;Medio
SF-2014-3770;29-08-2014;31-08-2014;Segunda Classe;Medio
ES-2014-5896804;14-10-2014;15-10-2014;Primeira Classe;Alto
ES-2011-3106999;04-11-2011;09-11-2011;Classe Padrao;Medio
BO-2014-9240;05-06-2014;08-06-2014;Segunda Classe;Medio
UP-2013-720;18-03-2013;22-03-2013;Classe Padrao;Medio
US-2014-105389;24-10-2014;29-10-2014;Segunda Classe;Medio
IZ-2014-3660;24-01-2014;28-01-2014;Classe Padrao;Alto
NI-2012-9150;24-12-2012;30-12-2012;Classe Padrao;Medio
SA-2011-1570;04-08-2011;09-08-2011;Classe Padrao;Medio
MX-2013-134453;27-03-2013;30-03-2013;Segunda Classe;Medio
CA-2012-142202;18-09-2012;23-09-2012;Segunda Classe;Alto
RS-2014-3790;17-12-2014;20-12-2014;Segunda Classe;Medio
IT-2014-2245117;29-12-2014;31-12-2014;Primeira Classe;Critico
ES-2013-4786711;29-06-2013;03-07-2013;Classe Padrao;Medio
CA-2013-164784;02-05-2013;05-05-2013;Primeira Classe;Medio
ID-2014-46756;21-06-2014;26-06-2014;Classe Padrao;Alto
IS-2014-6390;31-03-2014;05-04-2014;Classe Padrao;Medio
ES-2013-1526338;14-07-2013;17-07-2013;Primeira Classe;Medio
ES-2012-5580875;09-01-2012;14-01-2012;Classe Padrao;Medio
IN-2012-72229;27-06-2012;02-07-2012;Segunda Classe;Medio
ES-2014-4187907;08-11-2014;10-11-2014;Segunda Classe;Alto
MX-2013-108812;26-09-2013;28-09-2013;Segunda Classe;Alto
CA-2012-162782;21-02-2012;27-02-2012;Classe Padrao;Medio
ES-2014-5334183;04-08-2014;07-08-2014;Segunda Classe;Alto
BK-2012-9590;06-08-2012;10-08-2012;Segunda Classe;Alto
IN-2013-20933;15-10-2013;17-10-2013;Segunda Classe;Alto
ZA-2012-7690;12-06-2012;18-06-2012;Classe Padrao;Baixo
ID-2014-82463;29-01-2014;02-02-2014;Segunda Classe;Medio
IT-2014-2355834;19-06-2014;25-06-2014;Classe Padrao;Medio
MX-2014-166135;17-09-2014;19-09-2014;Primeira Classe;Alto
ES-2013-5195590;03-12-2013;04-12-2013;Primeira Classe;Medio
ES-2014-1984595;19-12-2014;19-12-2014;Mesmo Dia;Medio
PU-2014-730;21-11-2014;23-11-2014;Segunda Classe;Alto
IR-2014-6370;15-12-2014;18-12-2014;Primeira Classe;Alto
MX-2014-148509;18-06-2014;20-06-2014;Segunda Classe;Alto
IN-2011-60791;07-10-2011;10-10-2011;Primeira Classe;Medio
AO-2013-6910;31-12-2013;03-01-2014;Primeira Classe;Medio
MX-2014-118052;13-09-2014;18-09-2014;Segunda Classe;Medio
CA-2013-134803;29-05-2013;04-06-2013;Classe Padrao;Baixo
IN-2014-44719;11-08-2014;11-08-2014;Mesmo Dia;Alto
US-2012-131513;20-10-2012;26-10-2012;Classe Padrao;Baixo
IT-2011-4480159;12-10-2011;16-10-2011;Classe Padrao;Alto
IN-2014-79866;02-09-2014;07-09-2014;Classe Padrao;Medio
ES-2013-2996255;25-11-2013;29-11-2013;Classe Padrao;Alto
CA-2011-129924;12-07-2011;17-07-2011;Classe Padrao;Alto
CA-2011-137092;20-10-2011;22-10-2011;Segunda Classe;Critico
AG-2012-4630;28-05-2012;30-05-2012;Segunda Classe;Medio
ES-2011-4272488;09-12-2011;14-12-2011;Classe Padrao;Medio
ES-2014-2606695;03-07-2014;03-07-2014;Mesmo Dia;Alto
IN-2012-53518;22-05-2012;26-05-2012;Classe Padrao;Alto
ES-2013-2795403;22-11-2013;28-11-2013;Classe Padrao;Medio
IN-2013-38384;11-12-2013;13-12-2013;Primeira Classe;Alto
ES-2011-5793145;05-05-2011;10-05-2011;Classe Padrao;Medio
IN-2013-40218;29-01-2013;02-02-2013;Classe Padrao;Alto
ES-2014-1879715;29-06-2014;03-07-2014;Classe Padrao;Medio
CA-2011-169726;09-08-2011;13-08-2011;Classe Padrao;Medio
ES-2012-4286133;04-09-2012;08-09-2012;Classe Padrao;Alto
