ID_Cliente,Idade,Peso,Altura,Estado Civil,Estado,Limite de Credito,Valor Desconto,Valor Compra,Tipo de Cliente
OVDY808,23,63,189,Solteiro,SP,4387,70,3715,Prata
EBEQ452,52,77,167,Viúvo,RJ,4434,44,3012,Ouro
NWKX949,59,75,170,Divorciado,MG,4953,50,1019,Prata
XOKC760,39,35,187,Solteiro,MG,2451,95,4980,Diamante
WFKW430,43,88,175,Viúvo,SP,5876,41,4023,Diamante
GKHJ485,51,73,181,Divorciado,MG,3332,78,4671,Ouro
MGGE838,37,103,177,Divorciado,RS,5499,28,774,Diamante
NLAU486,36,70,168,Casado,RS,3144,28,1805,Diamante
TRUC675,42,66,182,Solteiro,MG,5809,70,1505,Bronze
KKCU422,40,53,169,Viúvo,RJ,3615,27,2525,Prata
BIBC213,27,95,152,Divorciado,MG,4240,48,4053,Bronze
OUAV629,29,71,177,Casado,MG,9318,67,3911,Ouro
OSSF762,35,66,170,Casado,RS,6745,59,4315,Bronze
NADS757,49,37,171,Solteiro,MG,3735,53,495,Bronze
OJCP164,32,47,156,Casado,RJ,6556,42,4421,Bronze
CDIE390,38,79,175,Viúvo,RJ,5774,65,4582,Diamante
VSKF617,58,61,183,Divorciado,RS,5322,57,2271,Prata
KRJH422,37,74,168,Casado,RS,5377,22,3914,Prata
PLBD186,37,97,177,Casado,SP,4345,56,5139,Prata
XLRL115,45,49,180,Divorciado,RS,7297,53,3955,Prata
LHOC624,33,74,185,Casado,RJ,2309,36,4817,Bronze
VVDE172,61,57,162,Casado,MG,6701,37,3107,Ouro
GYGM427,32,94,176,Viúvo,SP,3972,36,2461,Diamante
KHMK439,46,56,176,Solteiro,RJ,3185,72,5126,Diamante
VUWR150,38,87,168,Viúvo,MG,4183,38,1854,Prata
GJLK829,48,89,188,Solteiro,RS,6392,50,2748,Bronze
FXMG765,46,85,162,Viúvo,RS,5420,36,2765,Prata
FLQD727,19,77,176,Casado,MG,2748,28,1043,Bronze
TAZC423,40,35,179,Solteiro,RS,6394,45,1952,Diamante
QMKF740,49,71,167,Casado,MG,5427,35,1987,Prata
DSWR825,45,76,161,Solteiro,SP,3879,49,2267,Ouro
GMQN468,54,75,163,Viúvo,RJ,4965,50,2371,Ouro
UGXQ277,18,69,172,Solteiro,RS,3568,42,2770,Prata
QUHF705,25,49,180,Casado,RJ,6335,53,7203,Bronze
BIHD401,42,74,163,Viúvo,RS,8122,70,2869,Diamante
BOVR262,31,76,191,Divorciado,RS,4890,75,654,Prata
ADEH909,28,60,179,Solteiro,SP,4147,55,4255,Bronze
PKSW948,45,71,166,Casado,MG,4760,60,3826,Bronze
TVQU108,44,66,169,Solteiro,SP,3761,48,1886,Prata
YXDJ878,61,76,149,Divorciado,SP,3687,69,1495,Prata
VKCT175,51,42,191,Solteiro,RJ,5802,66,1380,Diamante
DQYK712,40,81,166,Divorciado,RJ,3943,48,2645,Bronze
UMPY884,36,65,171,Solteiro,MG,4297,32,2589,Ouro
IQPW190,43,92,185,Viúvo,SP,3669,60,3748,Diamante
HENM901,53,76,149,Divorciado,RJ,3959,34,2913,Ouro
UNON479,39,82,154,Viúvo,RS,4426,34,4728,Diamante
CZID354,35,65,170,Casado,RJ,4927,22,3271,Ouro
ZHXI651,49,66,156,Divorciado,RS,1783,44,3034,Diamante
KLDU266,32,52,164,Viúvo,RJ,4377,43,2248,Ouro
IIWQ309,45,62,180,Solteiro,RJ,705,49,2764,Diamante
XQAH876,22,69,152,Solteiro,RS,10661,110,5504,Diamante
IADM345,32,56,160,Casado,SP,1167,47,2893,Bronze
FTNP920,26,64,173,Casado,RS,5144,25,2069,Ouro
IEJA965,20,64,173,Solteiro,MG,7743,8,3861,Prata
UUCI363,36,79,173,Viúvo,SP,3595,33,2232,Diamante
DJVB616,21,33,161,Solteiro,RS,7124,69,2536,Prata
NXIR241,35,71,186,Divorciado,SP,2209,23,1103,Bronze
KVDL717,44,86,194,Casado,RJ,3287,54,2993,Bronze
GLHQ259,47,71,167,Divorciado,MG,5032,67,2480,Diamante
EAVA370,36,57,178,Divorciado,RJ,9946,58,1198,Bronze
VFSU213,41,64,172,Divorciado,SP,6275,40,3113,Bronze
AKCB911,47,65,170,Divorciado,MG,4633,37,2517,Diamante
NHXK516,35,67,173,Divorciado,RJ,5109,74,2719,Ouro
IAHQ860,47,38,164,Divorciado,RJ,6548,86,2197,Bronze
JPZM219,44,48,189,Viúvo,RJ,4524,38,5934,Prata
RQSR646,28,56,160,Viúvo,SP,4328,70,2145,Ouro
RRXS570,58,72,178,Viúvo,RS,5324,67,5489,Bronze
ISZD537,45,65,171,Solteiro,SP,6504,52,6021,Bronze
YSAL892,48,105,174,Divorciado,MG,6711,20,4163,Ouro
NIWX813,41,66,176,Divorciado,SP,3627,49,4231,Prata
HRZR832,40,48,185,Divorciado,SP,3809,41,3657,Diamante
SVWH523,39,62,176,Solteiro,RS,1983,58,1257,Prata
ZNYH955,43,66,180,Casado,MG,4053,111,1869,Prata
JCHE494,48,62,179,Divorciado,MG,3673,57,1970,Ouro
OTBO257,30,76,165,Casado,RJ,5008,55,4062,Prata
EDBM414,28,76,168,Viúvo,SP,3310,43,3648,Prata
LCJC427,41,83,151,Divorciado,SP,4099,21,2460,Prata
NXEN157,43,79,165,Divorciado,RJ,5394,43,3328,Prata
OLEW634,50,87,187,Solteiro,RJ,3595,26,2811,Ouro
CSRX807,28,72,153,Viúvo,RS,4830,88,1730,Ouro
TZAW790,36,52,169,Divorciado,RS,7537,76,4513,Ouro
AUUS693,60,100,141,Divorciado,RS,4383,63,1450,Ouro
HTIZ796,52,90,172,Casado,MG,1159,79,2207,Bronze
AJLX232,42,65,147,Viúvo,RJ,5874,55,979,Bronze
EPSU208,54,82,175,Viúvo,RS,6883,33,5806,Bronze
HGNQ730,24,62,174,Casado,RS,1091,66,2566,Prata
